,Pictures,Names,Names1,Names2,Names3,RT,Response,RT_certainty,Response_certainty,Accuracy,Knowledge,Subject,Sex,Age,Handedness
122,123,马化腾,马晓轶,任宇昕,许家印,2.276860299985856,n,0.5331687000580132,j,1.0,1.0,16.0,male,29.0,right-handed
73,74,郭晶晶,柯婷婷,陈若琳,胡亚丹,1.619413500186056,d,0.44963129982352257,j,1.0,1.0,16.0,male,29.0,right-handed
92,93,唐国强,李雪健,马少骅,李定保,5.168605600018054,d,0.43869200022891164,j,1.0,1.0,16.0,male,29.0,right-handed
67,68,赵忠祥,刘栋栋,王景愚,张泽群,2.777499500196427,n,0.44390750024467707,j,1.0,1.0,16.0,male,29.0,right-handed
55,56,郭达,何军,刘劲,刘流,6.113984599709511,j,0.5783076002262533,j,1.0,1.0,16.0,male,29.0,right-handed
90,91,何鸿燊,陈荣炼,霍启刚,李嘉诚,4.024822299834341,d,0.34249250032007694,j,1.0,1.0,16.0,male,29.0,right-handed
46,47,韩红,田震,柏文,韦唯,2.7178776999935508,n,0.5663880999200046,j,1.0,1.0,16.0,male,29.0,right-handed
61,62,牛莉,宁静,谢娜,袁立,2.7079912000335753,n,0.36272080009803176,j,1.0,1.0,16.0,male,29.0,right-handed
119,120,莫言,王蒙,路遥,曹禺,4.3912786999717355,c,0.7544722999446094,j,1.0,1.0,16.0,male,29.0,right-handed
137,138,张柏芝,钟欣潼,蔡少芬,袁咏仪,4.247906799893826,c,0.4020799002610147,j,1.0,1.0,16.0,male,29.0,right-handed
131,132,张文宏,王兴鹏,陈晓峰,刘学源,1.7841119999065995,n,0.3526041000150144,j,1.0,1.0,16.0,male,29.0,right-handed
107,108,徐峥,廖凡,黄磊,王凯,7.037234500050545,n,1.1794153000228107,j,1.0,1.0,16.0,male,29.0,right-handed
128,129,雷军,王翔,丁磊,黄立,1.547545799985528,j,0.3374140001833439,j,1.0,1.0,16.0,male,29.0,right-handed
58,59,蔡明,杨蕾,韩影,闫妮,4.473462800029665,c,0.7792789000086486,j,1.0,1.0,16.0,male,29.0,right-handed
139,140,吴京,陈龙,欧豪,张晋,4.617750700097531,d,0.5275638997554779,j,1.0,1.0,16.0,male,29.0,right-handed
34,35,李小龙,赵文卓,陈国坤,袁和平,1.2356320000253618,c,0.40797229995951056,j,1.0,1.0,16.0,male,29.0,right-handed
