,Pictures,Names,Names1,Names2,Names3,RT,Response,RT_certainty,Response_certainty,Accuracy,Knowledge,Subject,Sex,Age,Handedness
118,119,王立群,易中天,纪连海,钱文忠,5.7998113334178925e-06,d,6.00004568696022e-06,d,0.0,0.0,99.0,female,20.0,right-handed
2,3,温家宝,陈锡联,董必武,王洪文,6.299931555986404e-06,d,2.0100269466638565e-05,d,0.0,0.0,99.0,female,20.0,right-handed
131,132,张文宏,王兴鹏,陈晓峰,刘学源,6.5998174250125885e-06,d,7.200054824352264e-06,d,0.0,0.0,99.0,female,20.0,right-handed
70,71,周涛,刘涛,文清,朱迅,6.800051778554916e-06,d,6.00004568696022e-06,d,0.0,0.0,99.0,female,20.0,right-handed
12,13,汪洋,黄菊,罗干,李鹏,7.799826562404633e-06,d,6.299931555986404e-06,d,0.0,0.0,99.0,female,20.0,right-handed
6,7,江泽民,朱镕基,田纪云,刘华清,9.799841791391373e-06,d,6.299931555986404e-06,d,0.0,0.0,99.0,female,20.0,right-handed
103,104,邓亚萍,张怡宁,伏明霞,李晓霞,6.00004568696022e-06,d,6.800051778554916e-06,d,0.0,0.0,99.0,female,20.0,right-handed
128,129,雷军,王翔,丁磊,黄立,2.0899809896945953e-05,d,6.9998204708099365e-06,d,0.0,0.0,99.0,female,20.0,right-handed
3,4,朱德,贺龙,陈毅,粟裕,5.899928510189056e-06,d,5.600042641162872e-06,d,0.0,0.0,99.0,female,20.0,right-handed
20,21,邓丽君,田馥甄,林凤娇,梅艳芳,6.00004568696022e-06,d,5.999580025672913e-06,d,1.0,0.0,99.0,female,20.0,right-handed
102,103,刘翔,孙鹏,高健,李宁,6.00004568696022e-06,d,6.600283086299896e-06,d,0.0,0.0,99.0,female,20.0,right-handed
17,18,成龙,韩磊,陈赫,谢贤,5.900394171476364e-06,d,5.3998082876205444e-06,d,1.0,0.0,99.0,female,20.0,right-handed
53,54,朱婷,颜妮,丁霞,孙燕,6.0996972024440765e-06,d,6.00004568696022e-06,d,0.0,0.0,99.0,female,20.0,right-handed
75,76,潘长江,巩汉林,潘斌龙,石富宽,7.300172001123428e-06,d,6.400048732757568e-06,d,0.0,0.0,99.0,female,20.0,right-handed
129,130,董明珠,陶华碧,陈丽华,周群飞,6.299931555986404e-06,d,2.1900050342082977e-05,d,0.0,0.0,99.0,female,20.0,right-handed
0,1,毛泽东,陈伯达,许世友,黄永胜,7.0999376475811005e-06,d,6.90016895532608e-06,d,0.0,0.0,99.0,female,20.0,right-handed
40,41,张学友,林子祥,谭咏麟,周华健,6.1998143792152405e-06,d,5.3998082876205444e-06,d,0.0,0.0,99.0,female,20.0,right-handed
98,99,六小龄童,欧阳震华,扎西平措,欧阳奋强,9.799841791391373e-06,d,6.9998204708099365e-06,d,1.0,0.0,99.0,female,20.0,right-handed
73,74,郭晶晶,柯婷婷,陈若琳,胡亚丹,6.500165909528732e-06,d,6.4997002482414246e-06,d,0.0,0.0,99.0,female,20.0,right-handed
30,31,张曼玉,陈松伶,刘嘉玲,袁洁莹,6.0996972024440765e-06,d,5.7998113334178925e-06,d,0.0,0.0,99.0,female,20.0,right-handed
16,17,刘德华,任达华,林子祥,洪金宝,6.100162863731384e-06,d,5.6996941566467285e-06,d,1.0,0.0,99.0,female,20.0,right-handed
4,5,刘少奇,胡耀邦,李先念,汪东兴,7.100403308868408e-06,d,6.0996972024440765e-06,d,0.0,0.0,99.0,female,20.0,right-handed
97,98,张铁林,段奕宏,王传君,李双江,6.5998174250125885e-06,d,6.90016895532608e-06,d,1.0,0.0,99.0,female,20.0,right-handed
43,44,杨钰莹,梁静茹,张韶涵,张靓颖,5.899928510189056e-06,d,5.7998113334178925e-06,d,1.0,0.0,99.0,female,20.0,right-handed
39,40,王力宏,薛之谦,潘玮柏,毛不易,6.00004568696022e-06,d,6.0996972024440765e-06,d,1.0,0.0,99.0,female,20.0,right-handed
65,66,黄宏,贾冰,乔杉,姜超,6.00004568696022e-06,d,5.700159817934036e-06,d,0.0,0.0,99.0,female,20.0,right-handed
106,107,邓婕,史可,周月,何晴,6.400048732757568e-06,d,6.00004568696022e-06,d,0.0,0.0,99.0,female,20.0,right-handed
121,122,马云,黄峥,张勇,王兴,6.90016895532608e-06,d,6.00004568696022e-06,d,0.0,0.0,99.0,female,20.0,right-handed
139,140,吴京,陈龙,欧豪,张晋,6.399583071470261e-06,d,5.899928510189056e-06,d,0.0,0.0,99.0,female,20.0,right-handed
123,124,任正非,周鸿祎,张一鸣,张文中,5.899928510189056e-06,d,6.800051778554916e-06,d,0.0,0.0,99.0,female,20.0,right-handed
130,131,孟晚舟,杨惠妍,张嘉蓉,钟慧娟,6.400048732757568e-06,d,7.200054824352264e-06,d,1.0,0.0,99.0,female,20.0,right-handed
78,79,杨澜,董倩,徐俐,黄薇,6.6999346017837524e-06,d,7.6000578701496124e-06,d,0.0,0.0,99.0,female,20.0,right-handed
59,60,沈腾,张译,尹正,艾伦,2.5600194931030273e-05,d,6.100162863731384e-06,d,1.0,0.0,99.0,female,20.0,right-handed
61,62,牛莉,宁静,谢娜,袁立,6.200280040502548e-06,d,2.219993621110916e-05,d,0.0,0.0,99.0,female,20.0,right-handed
77,78,任鲁豫,李晓东,赵一天,王金健,6.00004568696022e-06,d,6.00004568696022e-06,d,1.0,0.0,99.0,female,20.0,right-handed
57,58,宋小宝,罗家英,刘小光,郑中基,6.00004568696022e-06,d,5.499925464391708e-06,d,0.0,0.0,99.0,female,20.0,right-handed
80,81,崔永元,李维嘉,杜海涛,李自健,2.3400411009788513e-05,d,5.6996941566467285e-06,d,0.0,0.0,99.0,female,20.0,right-handed
136,137,袁隆平,谢华安,杨伯达,黄旭华,6.400048732757568e-06,d,6.800051778554916e-06,d,0.0,0.0,99.0,female,20.0,right-handed
72,73,李思思,张舒越,敬一丹,李梓萌,6.400048732757568e-06,d,5.700159817934036e-06,d,1.0,0.0,99.0,female,20.0,right-handed
37,38,陈建斌,王耀庆,霍建华,汤志伟,6.0996972024440765e-06,d,5.899928510189056e-06,d,1.0,0.0,99.0,female,20.0,right-handed
48,49,小沈阳,周云鹏,喻恩泰,王小利,5.899928510189056e-06,d,2.3700296878814697e-05,d,0.0,0.0,99.0,female,20.0,right-handed
10,11,王岐山,张德江,俞正声,贺国强,6.100162863731384e-06,d,5.999580025672913e-06,d,0.0,0.0,99.0,female,20.0,right-handed
29,30,黄奕,曾黎,姜珊,梅婷,6.0996972024440765e-06,d,7.0999376475811005e-06,d,0.0,0.0,99.0,female,20.0,right-handed
120,121,屠呦呦,吴健雄,何泽慧,陈化兰,6.0996972024440765e-06,d,6.200280040502548e-06,d,0.0,0.0,99.0,female,20.0,right-handed
74,75,撒贝宁,朱广权,郑天亮,姚雪松,5.899928510189056e-06,d,2.4999957531690598e-05,d,0.0,0.0,99.0,female,20.0,right-handed
22,23,玲花,云朵,何静,格格,6.0996972024440765e-06,d,6.500165909528732e-06,d,0.0,0.0,99.0,female,20.0,right-handed
86,87,康辉,刚强,鲁健,刘洋,6.00004568696022e-06,d,7.0999376475811005e-06,d,0.0,0.0,99.0,female,20.0,right-handed
91,92,张丰毅,王劲松,张艺谋,王新军,2.0700041204690933e-05,d,7.000286132097244e-06,d,1.0,0.0,99.0,female,20.0,right-handed
15,16,彭德怀,华国锋,赵紫阳,朱镕基,5.899928510189056e-06,d,5.600042641162872e-06,d,1.0,0.0,99.0,female,20.0,right-handed
83,84,范冰冰,张馨予,高圆圆,张雨绮,6.400048732757568e-06,d,6.00004568696022e-06,d,0.0,0.0,99.0,female,20.0,right-handed
124,125,李彦宏,平晓黎,曹晓冬,宋志平,6.1998143792152405e-06,d,5.600042641162872e-06,d,1.0,0.0,99.0,female,20.0,right-handed
114,115,斯琴高娃,才旦卓玛,阿鲁阿卓,慕容婉儿,6.1998143792152405e-06,d,6.4997002482414246e-06,d,0.0,0.0,99.0,female,20.0,right-handed
